boruma,"[22399, 50, 10]",10,876,Standings.Veteran()
deathbatkill,"[12726, 10, 5]",9,606,Standings.Newbie()
maerthyu,"[1440, 10, 5]",6,297,Standings.Newbie()
unsightedwizard,"[1440, 10, 5]",5,181,Standings.Newbie()
wegh4679,"[1450, 10, 5]",5,224,Standings.Newbie()
nolicanoli10,"[1440, 10, 5]",5,250,Standings.Newbie()
lobofps,"[160, 10, 5]",2,35,Standings.Newbie()
pots_,"[1441, 10, 5]",7,374,Standings.Newbie()
eyepatch0325,"[735, 10, 5]",4,147,Standings.Newbie()
javioyt,"[480, 10, 5]",3,96,Standings.Newbie()
riyzoh,"[310, 10, 5]",2,55,Standings.Newbie()
divinecoke,"[310, 10, 5]",2,55,Standings.Newbie()
protoxider,"[120, 10, 5]",1,26,Standings.Newbie()
edhfednbd,"[45, 10, 5]",1,11,Standings.Newbie()
shuruni,"[781, 10, 5]",9,779,Standings.Newbie()
