deathbatkill,"[19042, 10, 5]",5,640,Standings.Veteran()
maerthyu,"[2428, 10, 5]",4,492,Standings.Newbie()
unsightedwizard,"[1440, 10, 5]",3,0,Standings.Newbie()
wegh4679,"[4695, 10, 5]",4,452,Standings.Newbie()
nolicanoli10,"[2400, 10, 5]",5,255,Standings.Newbie()
lobofps,"[160, 10, 5]",6,0,Standings.Newbie()
pots_,"[2151, 10, 5]",7,93,Standings.Newbie()
eyepatch0325,"[735, 10, 5]",8,0,Standings.Newbie()
javioyt,"[480, 10, 5]",9,0,Standings.Newbie()
riyzoh,"[310, 10, 5]",10,0,Standings.Newbie()
divinecoke,"[485, 10, 5]",11,0,Standings.Newbie()
protoxider,"[950, 10, 5]",12,58,Standings.Newbie()
edhfednbd,"[45, 10, 5]",13,0,Standings.Newbie()
shuruni,"[19517, 10, 5]",8,1354,Standings.Veteran()
testbot5,"[738, 10, 5]",3,321,Standings.Newbie()
a_forest_ganker,"[5, 10, 5]",14,0,Standings.Newbie()
jtrieu089,"[1504, 10, 5]",15,475,Standings.Newbie()
shadowdrake77,"[702, 10, 5]",16,0,Standings.Newbie()
hikikono,"[145, 10, 5]",17,0,Standings.Newbie()
mcrocks10924,"[60, 10, 5]",18,0,Standings.Newbie()
khrymzon,"[930, 10, 5]",19,212,Standings.Newbie()
lonins5,"[725, 10, 5]",20,0,Standings.Newbie()
thelonelynep,"[1060, 10, 5]",21,60,Standings.Newbie()
thefanboy902,"[615, 10, 5]",22,0,Standings.Newbie()
sharkscape,"[615, 10, 5]",23,0,Standings.Newbie()
laughten_,"[670, 10, 5]",24,0,Standings.Newbie()
lunar_siblings,"[855, 10, 5]",25,229,Standings.Newbie()
yoyoboy888,"[95, 10, 5]",26,0,Standings.Newbie()
xxlink99xx,"[95, 10, 5]",27,0,Standings.Newbie()
isaboo101,"[170, 10, 5]",28,0,Standings.Newbie()
medinsoner,"[170, 10, 5]",29,0,Standings.Newbie()
m4rve1,"[0, 10, 5]",30,0,Standings.Newbie()
marebot,"[0, 10, 5]",32,0,Standings.Newbie()
bobmoew,"[60, 10, 5]",0,29,Standings.Newbie()
max_fromyour_closet,"[130, 10, 5]",0,77,Standings.Newbie()
smohc_stahc,"[0, 10, 5]",0,0,Standings.Newbie()
kurelia,"[90, 10, 5]",0,58,Standings.Newbie()
boruma,"[13436, 10, 5]",3,337,Standings.Newbie()
kaininjaz,"[25, 10, 5]",0,13,Standings.Newbie()
saepe,"[25, 10, 5]",0,17,Standings.Newbie()
