deathbatkill,"[18342, 10, 5]",18,4291,stnd.SpecialPerson(),"Jobs.Thief(284, 2, [], 10, 5,0,1,0,1)"
maerthyu,"[3308, 10, 5]",7,1092,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
unsightedwizard,"[1440, 10, 5]",3,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
wegh4679,"[9695, 10, 5]",11,2041,stnd.CommonFace(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
nolicanoli10,"[2450, 10, 5]",5,281,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
lobofps,"[160, 10, 5]",6,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
pots_,"[3831, 10, 5]",7,303,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
eyepatch0325,"[735, 10, 5]",8,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
javioyt,"[480, 10, 5]",9,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
riyzoh,"[310, 10, 5]",10,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
divinecoke,"[485, 10, 5]",11,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
protoxider,"[1500, 10, 5]",12,413,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
edhfednbd,"[45, 10, 5]",13,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
shuruni,"[23607, 7, 1]",17,4099,stnd.Shuruni(),"Jobs.Scavenger(1237, 7, [], 7, 1,0,1,0,1)"
testbot5,"[738, 10, 5]",3,321,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
a_forest_ganker,"[5, 10, 5]",14,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
jtrieu089,"[4844, 10, 5]",15,2121,stnd.Newbie(),"Jobs.Bartender(284, 2, [], 10, 5,0,1,0,1)"
shadowdrake77,"[1267, 10, 5]",16,419,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
hikikono,"[1831, 10, 5]",8,1174,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mcrocks10924,"[60, 10, 5]",18,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
khrymzon,"[1090, 10, 5]",19,688,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
lonins5,"[725, 10, 5]",20,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
thelonelynep,"[1060, 10, 5]",21,60,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
thefanboy902,"[615, 10, 5]",22,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
sharkscape,"[615, 10, 5]",23,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
laughten_,"[670, 10, 5]",24,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
lunar_siblings,"[4846, 9, 5]",25,3949,stnd.Newbie(),"Jobs.Writer(403, 3, [], 9, 5,0,1,0,1)"
yoyoboy888,"[95, 10, 5]",26,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
xxlink99xx,"[95, 10, 5]",27,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
isaboo101,"[170, 10, 5]",28,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
medinsoner,"[170, 10, 5]",29,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
m4rve1,"[0, 10, 5]",30,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
marebot,"[0, 10, 5]",32,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
bobmoew,"[60, 10, 5]",0,29,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
max_fromyour_closet,"[130, 10, 5]",0,77,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
smohc_stahc,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
kurelia,"[128, 10, 5]",1,82,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
boruma,"[15275, 10, 5]",15,3307,stnd.Moderator(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
kaininjaz,"[25, 10, 5]",0,13,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
saepe,"[540, 10, 5]",3,306,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
crisdathug,"[5, 10, 5]",0,5,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
proffessorgio96,"[610, 10, 5]",1,154,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
rendium_adendum,"[385, 10, 5]",1,163,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mechanical1337,"[385, 10, 5]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
bubbles_mane,"[385, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
johnsnowtiger,"[70, 10, 5]",0,33,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
animorph59,"[70, 10, 5]",0,6,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
ic3cr4sh3r,"[336, 10, 5]",0,28,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
capthelpful,"[336, 10, 5]",2,211,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
bman4evah,"[406, 10, 5]",0,63,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
stareexx,"[406, 10, 5]",0,31,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
gosuperbelly,"[406, 10, 5]",0,36,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
alazyname,"[801, 10, 5]",3,354,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
idogftw00,"[406, 10, 5]",0,4,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mochi_umai,"[100, 10, 5]",0,38,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
danielh90,"[100, 10, 5]",0,28,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
bottledhate,"[140, 10, 5]",1,91,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
panda121pll,"[375, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
unoboy09,"[565, 10, 5]",2,194,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mlr_tachyon,"[375, 10, 5]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
julian101801,"[375, 10, 5]",0,49,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
direkappa,"[375, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
pizarrik,"[375, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
darkheal1,"[570, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
tbolt234,"[570, 10, 5]",1,90,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
owenviau1,"[570, 10, 5]",0,40,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
joshisbeast23456,"[570, 10, 5]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mricebear420,"[570, 10, 5]",0,56,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
yggipredne,"[570, 10, 5]",0,30,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
coolmarcus2000,"[570, 10, 5]",0,68,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ayu,"[1610, 10, 5]",6,926,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
