deathbatkill,"[245, 5, 4]",36,14853,stnd.SpecialPerson(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
maerthyu,"[3313, 5, 5]",17,4089,stnd.LoyalFollower(),"Jobs.Unemployed(64, 1, [], 5, 5,0,1,0,1)"
unsightedwizard,"[1440, 10, 5]",3,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
wegh4679,"[20868, 20, 11]",23,6614,stnd.Veteran(),"Jobs.Mechanic(4608, 14, [], 20, 11,0,1,0,1)"
nolicanoli10,"[9589, 8, 2]",18,4395,stnd.LoyalFollower(),"Jobs.Street_Performer(3617, 13, [], 8, 2,0,1,0,1)"
lobofps,"[160, 10, 5]",6,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
pots_,"[3816, 5, 5]",7,572,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
eyepatch0325,"[735, 10, 5]",8,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
javioyt,"[480, 10, 5]",9,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
riyzoh,"[310, 10, 5]",10,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
divinecoke,"[490, 5, 5]",11,140,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
protoxider,"[2325, 5, 4]",14,2820,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
edhfednbd,"[45, 10, 5]",13,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
shuruni,"[107694, 15, 8]",27,9021,stnd.Shuruni(),"Jobs.Farmer(4141, 13, [], 15, 8,0,1,0,1)"
testbot5,"[738, 10, 5]",3,321,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
a_forest_ganker,"[5, 10, 5]",14,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
jtrieu089,"[11570, 10, 5]",36,14851,stnd.NoLifer(),"Jobs.Bartender(13214, 25, [], 10, 5,0,1,0,1)"
shadowdrake77,"[1272, 5, 5]",16,1143,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
hikikono,"[2011, 5, 5]",16,3500,stnd.Moderator(),"Jobs.Scavenger(2290, 10, [], 5, 5,0,1,0,1)"
mcrocks10924,"[65, 5, 5]",18,160,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
